1	0	158	86	183	111
2	0	100	134	127	161
3	0	82	60	127	105
4	0	162	88	185	111
5	0	129	48	150	69
6	0	140	88	164	112
7	0	75	56	113	94
8	0	69	58	111	100
9	0	115	74	152	111
10	0	133	68	172	107
11	0	114	45	137	68
12	0	83	63	129	109
13	0	131	53	170	92
14	0	116	86	139	109
15	0	79	48	122	91
16	0	128	85	165	122
17	0	132	56	170	94
18	0	142	71	165	94
19	0	68	86	97	115
20	0	128	68	154	94
21	0	124	80	147	103
22	0	77	51	120	94
23	0	69	58	107	96
24	0	111	48	157	94
25	0	131	69	157	95
26	0	51	54	96	99
27	0	170	128	197	155
28	0	68	55	110	97
29	0	67	61	110	104
30	0	132	87	157	112
31	0	90	63	136	109
32	0	103	51	126	74
33	0	121	78	157	114
34	0	168	56	191	79
35	0	151	133	178	160
36	0	77	49	122	94
37	0	111	48	157	94
38	0	140	73	165	98
39	0	138	68	176	106
40	0	88	65	134	111
41	0	129	51	152	74
42	0	161	85	184	108
43	0	73	65	119	111
44	0	88	62	134	108
45	0	119	130	145	156
46	0	131	70	168	107
47	0	139	47	162	70
48	0	120	52	147	79
49	0	46	54	92	100
50	0	5	70	48	113
51	0	161	87	185	111
52	0	71	53	114	96
53	0	127	73	164	110
54	0	88	65	134	111
55	0	133	70	171	108
56	0	136	81	157	102
57	0	106	49	144	87
58	3	86	82	122	118
59	0	141	90	164	113
60	0	164	58	192	86
61	0	140	71	167	98
62	0	61	51	106	96
63	0	131	70	168	107
64	0	89	38	132	81
65	0	134	81	157	104
66	0	127	67	166	106
67	0	23	66	71	114
68	0	75	57	115	97
69	0	139	75	165	101
70	0	148	77	171	100
71	0	139	53	179	93
72	0	155	134	180	159
73	0	150	131	176	157
74	0	161	85	187	111
75	0	103	132	130	159
76	0	138	82	158	102
77	0	118	88	140	110
78	0	115	83	137	105
79	0	135	68	172	105
80	0	127	86	150	109
81	0	135	69	172	106
82	0	169	56	195	82
83	0	103	133	130	160
84	0	115	73	152	110
85	0	85	62	132	109
86	0	77	63	123	109
87	0	77	57	118	98
88	0	145	75	168	98
89	1	122	54	149	81
90	0	170	88	194	112
91	0	128	89	152	113
92	0	133	57	170	94
93	0	150	132	175	157
94	0	98	56	145	103
95	0	75	48	121	94
96	0	52	50	95	93
97	0	115	48	161	94
98	0	94	56	131	93
99	1	97	53	121	77
100	0	156	89	180	113
101	0	136	70	172	106
102	0	137	49	159	71
103	0	76	57	118	99
104	3	143	48	178	83
105	0	106	80	133	107
106	0	121	78	157	114
107	0	137	68	174	105
108	0	153	90	177	114
109	0	82	50	126	94
110	0	70	62	113	105
111	0	105	72	132	99
112	0	122	88	145	111
113	0	148	83	173	108
114	0	122	77	157	112
115	0	135	67	171	103
116	0	124	80	146	102
117	0	149	90	173	114
118	0	91	63	137	109
119	0	78	62	124	108
120	0	171	129	201	159
121	0	4	69	47	112
122	0	87	61	133	107
123	0	131	83	152	104
124	0	130	57	167	94
125	0	103	49	145	91
126	0	116	47	162	93
127	0	109	49	145	85
128	0	125	87	162	124
